uv_id,city_id,city_name,year,month,avg_uvi
1,1,Brisbane,2020,1,2.23
2,1,Brisbane,2020,2,1.86
3,1,Brisbane,2020,3,1.66
4,1,Brisbane,2020,4,1.3
5,1,Brisbane,2020,5,0.82
6,1,Brisbane,2020,6,0.67
7,1,Brisbane,2020,7,0.68
8,1,Brisbane,2020,8,1.03
9,1,Brisbane,2020,9,1.37
10,1,Brisbane,2020,10,1.69
11,1,Brisbane,2020,11,2.35
12,1,Brisbane,2020,12,2.23
13,1,Brisbane,2021,1,2.51
14,1,Brisbane,2021,2,2.11
15,1,Brisbane,2021,3,1.48
16,1,Brisbane,2021,4,1.16
17,1,Brisbane,2021,5,0.83
18,1,Brisbane,2021,6,0.62
19,1,Brisbane,2021,7,0.64
20,1,Brisbane,2021,8,0.96
21,1,Brisbane,2021,9,1.36
22,1,Brisbane,2021,10,1.71
23,1,Brisbane,2021,11,1.8
24,1,Brisbane,2021,12,2.24
25,1,Brisbane,2022,1,2.17
26,1,Brisbane,2022,2,1.86
27,1,Brisbane,2022,3,1.61
28,1,Brisbane,2022,4,1.25
29,1,Brisbane,2022,5,0.61
30,1,Brisbane,2022,6,0.65
31,1,Brisbane,2022,7,0.62
32,1,Brisbane,2022,8,0.95
33,1,Brisbane,2022,9,1.2
34,1,Brisbane,2022,10,1.46
35,1,Brisbane,2022,11,2.18
36,1,Brisbane,2022,12,2.17
37,1,Brisbane,2023,1,2.38
38,1,Brisbane,2023,2,2.22
39,1,Brisbane,2023,3,1.66
40,1,Brisbane,2023,4,1.23
41,1,Brisbane,2023,5,0.86
42,1,Brisbane,2023,6,0.65
43,1,Brisbane,2023,7,0.68
44,1,Brisbane,2023,8,0.91
45,1,Brisbane,2023,9,1.3
46,1,Brisbane,2023,10,1.79
47,1,Brisbane,2023,11,1.74
48,1,Brisbane,2023,12,2.34
49,1,Brisbane,2024,1,2.01
50,1,Brisbane,2024,2,2.07
51,1,Brisbane,2024,3,1.55
52,1,Brisbane,2024,4,1.21
53,1,Brisbane,2024,5,0.79
54,1,Brisbane,2024,6,0.7
55,1,Brisbane,2024,7,0.7
56,1,Brisbane,2024,8,0.93
57,1,Brisbane,2024,9,1.37
